singer,title,cheeze,genre,cover_image,country
이이경,칼퇴근,,트로트,https://image.bugsm.co.kr/album/images/200/203067/20306744.jpg?version=20231026060949,K-POP
이창섭,천상연,,발라드,https://image.bugsm.co.kr/album/images/200/40963/4096392.jpg?version=20240222064728,K-POP
이츠,청록,,록,https://image.bugsm.co.kr/album/images/200/205523/20552383.jpg?version=20231026070608,K-POP
이클립스,소나기,,발라드,https://image.bugsm.co.kr/album/images/200/206352/20635260.jpg?version=20250107022155,K-POP
이하이,한숨,,알엔비,https://image.bugsm.co.kr/album/images/200/200249/20024926.jpg?version=20210428040248,K-POP
자우림,스물다섯 스물하나,,록,https://image.bugsm.co.kr/album/images/200/3917/391751.jpg?version=20240907020609,K-POP
잔나비,사랑하긴 했었나요,,인디뮤직,https://image.bugsm.co.kr/album/images/200/4480/448006.jpg?version=20210422183751,K-POP
장범준,실버판테온,,록,https://image.bugsm.co.kr/album/images/200/40476/4047620.jpg?version=20210616002714,K-POP
장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,,록,https://image.bugsm.co.kr/album/images/200/202726/20272602.jpg?version=20231026060111,K-POP
장범준,노래방에서,,록,https://image.bugsm.co.kr/album/images/200/202394/20239451.jpg?version=20210422183751,K-POP
장연주,여가,"2,000치즈",발라드,https://image.bugsm.co.kr/album/images/200/80051/8005106.jpg?version=20230701055706,K-POP
적재,별 보러 가자,,록,https://image.bugsm.co.kr/album/images/200/6248/624831.jpg?version=20250107015522,K-POP
조승우,꽃이 피고 지듯이,,발라드,https://image.bugsm.co.kr/album/images/200/5350/535094.jpg?version=20190605025306,K-POP
조유리,봄날은 간다,,발라드,https://image.bugsm.co.kr/album/images/200/206795/20679565.jpg?version=20241027180009,K-POP
조이,여우야,,발라드,https://image.bugsm.co.kr/album/images/200/200879/20087992.jpg?version=20231026052853,K-POP
조정석,아로하,,발라드,https://image.bugsm.co.kr/album/images/200/203142/20314288.jpg?version=20231026061130,K-POP
주시크,아무래도 난,,알엔비,https://image.bugsm.co.kr/album/images/200/40734/4073463.jpg?version=20240223043359,K-POP
주호 ,내가 아니라도,,발라드,https://image.bugsm.co.kr/album/images/200/40732/4073229.jpg?version=20240223043354,K-POP
지수,꽃,,댄스,https://image.bugsm.co.kr/album/images/200/40850/4085066.jpg?version=20230411020709,K-POP
쪽빛아리아,월하의 그대에게,,발라드,https://i1.sndcdn.com/artworks-000377347974-3glcud-t1080x1080.jpg,K-POP
체리필터,피아니시모,"2,000치즈",록,https://image.bugsm.co.kr/album/images/200/1966/196640.jpg?version=20250107021914,K-POP
최예근밴드,어른,,알엔비,https://image.bugsm.co.kr/album/images/200/200749/20074984.jpg?version=20210422183751,K-POP
최유리,숲,,인디뮤직,https://image.bugsm.co.kr/album/images/200/40790/4079006.jpg?version=20230912015742,K-POP
최유리,바람,,발라드,https://image.bugsm.co.kr/album/images/200/204224/20422406.jpg?version=20240723035858,K-POP
치즈,사르르쿵,,발라드,https://image.bugsm.co.kr/album/images/200/40710/4071080.jpg?version=20220301003731,K-POP
